name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
1249,0.004157875728012938,450000,1.3437767406105592,1,1,1,0,23.4 kmpl,-0.4181882504991978,-0.49202393433610087,0.22306522337836443,5.0
1546,0.004157875728012938,370000,0.894743782019501,1,1,1,2,21.14 kmpl,0.0779801504697076,0.3338268688105829,0.8396689477692614,5.0
375,-2.06652971516731,158000,1.2469264946399388,3,1,1,4,17.7 kmpl,0.07599547686583198,-0.38012003147069656,-1.5989987821967364,5.0
743,-1.0311859197196485,225000,1.0180077314366542,1,1,1,0,23.0 kmpl,-0.12445655712560579,-0.0444083228744836,-1.4993145134202077,5.0
1290,-1.8076937663053945,130000,0.894743782019501,3,1,1,0,16.1 kmpl,-0.3189545703054167,-0.09476507916391547,-1.6113308566845541,5.0
655,0.780665722313759,440000,-0.4259413903071408,3,1,1,0,20.14 kmpl,-0.5194066042968545,-0.2721327652055814,-0.5605353430350671,5.0
1338,-1.8076937663053945,96000,1.863246241725705,2,1,1,0,17.3 km/kg,-0.789322214423939,-0.9536275336558937,-1.6493547530219927,5.0
1016,-3.3607094594768867,45000,-1.1303068155480165,3,1,1,2,16.1 kmpl,-1.3152607194509787,-1.527135035841091,-1.1231862415417606,4.0
1838,-0.772349970857733,350000,0.36646971308884424,1,1,1,0,23.59 kmpl,-0.18796611244962566,-0.6850581667789235,0.01753064858139876,5.0
278,-0.2546780731339024,200000,1.7575914279395735,1,1,1,0,20.0 kmpl,-0.11850253631397892,-0.6570821910625724,-0.08523663881708407,5.0
1460,0.004157875728012938,500000,-0.020931270793637317,1,1,1,2,19.01 kmpl,0.0045472271263096095,0.4717484290921939,0.8191154902895649,5.0
1372,-2.325365664029225,92000,0.5425610693990631,3,1,1,2,17.3 kmpl,-0.9242800194874813,-0.883687594365016,-0.9279283954846433,5.0
1251,-1.2900218685815639,280000,1.2469264946399388,1,1,1,2,19.3 kmpl,-0.4181882504991978,-0.4948215319077358,0.22306522337836443,5.0
1340,-1.2900218685815639,180000,0.36646971308884424,3,1,1,2,18.9 kmpl,-0.789322214423939,-0.6878557643505584,-0.8662680230455536,5.0
846,0.5218297734518437,400000,-0.5139870684622503,3,1,1,0,18.15 kmpl,-0.5174219306929788,-0.2682161286052922,-0.5476894321102568,5.0
1147,0.5218297734518437,778000,0.01428700046840646,1,1,1,2,24.52 kmpl,-0.4181882504991978,-0.08637228644901021,0.3258325107768473,7.0
688,-0.5135140219958177,500000,-0.28506830525896565,1,1,1,2,23.0 kmpl,-0.12445655712560579,-0.0444083228744836,-1.4993145134202077,5.0
1055,-3.101873510614971,150000,0.19037835677862536,3,1,1,2,19.7 kmpl,-1.3152607194509787,-1.266958461679026,-1.0923560553222158,5.0
695,0.5218297734518437,680000,0.5425610693990631,1,1,1,0,22.54 kmpl,-0.12445655712560579,-0.07993781203424936,0.5282840669518584,5.0
954,-0.772349970857733,174000,0.5425610693990631,1,1,1,2,21.0 kmpl,0.0045472271263096095,-0.7689860939279767,-0.08523663881708407,5.0
449,0.780665722313759,950000,-0.33789571215203135,1,1,1,0,25.5 kmpl,0.0779801504697076,0.19618506828613552,0.3258325107768473,5.0
1259,0.26299382458992826,525000,-0.5139870684622503,1,1,1,0,26.59 kmpl,-0.4181882504991978,-0.49202393433610087,0.22306522337836443,5.0
1212,-0.5135140219958177,600000,0.04950527173045024,1,1,1,0,21.5 kmpl,-0.4181882504991978,-0.07797949373410497,0.3258325107768473,5.0
1781,1.0395016711756744,500000,-0.6020327466173597,3,1,1,0,20.3 kmpl,-0.5154372570891033,-0.2175796125586967,-0.5579661608501051,5.0
1069,0.5218297734518437,575000,-0.4259413903071408,3,1,1,0,21.4 kmpl,-0.5194066042968545,-0.2374425553173062,-0.5476894321102568,5.0
1033,0.780665722313759,275000,-0.7252966960345129,3,1,1,0,24.7 kmpl,-1.3152607194509787,-1.2389824859626748,-1.0204189541432778,5.0
78,-0.2546780731339024,300000,0.01428700046840646,1,1,1,0,18.2 kmpl,-0.4181882504991978,-0.49761912947937115,0.04322247043101947,7.0
1340,-1.2900218685815639,220000,0.894743782019501,3,1,1,0,18.9 kmpl,-0.789322214423939,-0.6878557643505584,-0.8662680230455536,5.0
1182,1.0395016711756744,254999,-0.7781241029275786,3,1,1,0,16.8 kmpl,-1.3152607194509787,-1.6054677678468736,-1.1231862415417606,8.0
1309,0.780665722313759,670000,0.01428700046840646,1,1,1,0,24.3 kmpl,-0.4181882504991978,-0.08637228644901021,0.3258325107768473,5.0
1180,-0.5135140219958177,150000,-0.6020327466173597,3,1,1,2,14.0 kmpl,-1.3152607194509787,-1.583086987273793,-1.666825191879735,5.0
678,1.0395016711756744,730000,-1.1763018778162455,3,1,1,0,18.6 kmpl,-0.5194066042968545,-0.27297204447707196,-0.5507724507322113,5.0
1308,0.780665722313759,650000,-0.9330844964805712,1,1,1,0,24.3 kmpl,-0.4181882504991978,-0.08637228644901021,0.3258325107768473,5.0
1030,1.2983376200375896,330000,-1.042261137392907,0,1,1,2,33.44 km/kg,-1.3152607194509787,-1.4348143159771323,-1.1129095128019124,4.0
1053,1.2983376200375896,366000,-0.9542154592377975,3,1,1,0,23.95 kmpl,-0.9143566514681031,-0.6850581667789235,-0.8046076506064639,5.0
633,1.2983376200375896,1149000,-1.1303068155480165,3,1,1,0,17.0 kmpl,0.2625547956301404,0.831239717047305,-0.17772719747571863,5.0
128,0.5218297734518437,150000,-0.47876879720020643,3,1,1,0,20.63 kmpl,-0.5174219306929788,-0.6878557643505584,-0.6607334482485879,5.0
1727,-0.772349970857733,425000,-0.16180435584181244,1,1,1,2,13.93 kmpl,1.4295428747090058,1.2992777907818587,1.5590399595586413,7.0
1020,-0.5135140219958177,150000,0.1199418142545378,3,1,1,0,16.1 kmpl,-1.3152607194509787,-1.527135035841091,-1.1231862415417606,4.0
756,1.2983376200375896,2100000,-1.1303068155480165,3,1,0,0,16.0 kmpl,-0.1800274180341232,1.9354514785716825,0.8396689477692614,5.0
402,1.0395016711756744,925000,-0.7094484739665932,3,0,1,0,17.8 kmpl,0.07599547686583198,0.7193358141819007,-0.23938756991480833,5.0
382,-0.2546780731339024,425000,0.30131591125406326,3,0,1,0,16.8 kmpl,0.07599547686583198,0.6913598384655497,-0.22911084117496003,5.0
1257,1.0395016711756744,675000,-0.8080596335003158,3,0,0,0,18.5 kmpl,-0.5194066042968545,-0.23632351628865197,-0.5476894321102568,5.0
1310,1.0395016711756744,819999,-0.6442946721318122,1,0,1,0,24.3 kmpl,-0.4181882504991978,-0.08637228644901021,0.3258325107768473,5.0
1050,1.0395016711756744,390000,-1.0369783967036004,3,0,1,0,23.95 kmpl,-0.9143566514681031,-0.6864569655647409,-0.8046076506064639,5.0
1851,0.004157875728012938,1500000,0.1375509498855597,1,0,1,0,12.55 kmpl,3.02323577862113,2.151705770859076,1.7954047205751518,7.0
1865,-0.2546780731339024,700000,0.5249519337680413,1,0,1,0,12.99 kmpl,2.0547150599298267,0.2353514342890272,0.3258325107768473,7.0
1380,0.004157875728012938,1450000,-0.7288185231607173,1,0,0,2,14.8 kmpl,1.3580946249694834,0.8144541316174946,0.3258325107768473,5.0
325,0.26299382458992826,425000,-0.3414175392782357,1,0,1,0,24.7 kmpl,0.0779801504697076,0.19702434755762607,0.3258325107768473,5.0
1419,-0.2546780731339024,1090000,1.4406269865811796,1,0,1,0,13.5 kmpl,2.020975608663941,2.349216159416515,2.381178258746504,7.0
386,0.26299382458992826,600000,-0.25513277468622847,1,0,1,0,26.0 kmpl,0.0779801504697076,0.19618506828613552,0.3258325107768473,5.0
1125,1.0395016711756744,850000,-0.09136781331772488,3,0,1,0,20.65 kmpl,0.006531900730185231,0.32627335536716817,-0.3113246710937463,5.0
441,0.26299382458992826,525000,-0.10897694894874677,1,0,1,0,27.3 kmpl,0.0779801504697076,0.19618506828613552,0.3258325107768473,5.0
1904,0.5218297734518437,1650000,1.0303341263783694,1,0,0,2,11.36 kmpl,2.572714870541364,2.2356336980081295,1.9701091091525726,7.0
1864,0.5218297734518437,950000,0.5249519337680413,1,0,1,0,12.99 kmpl,2.0547150599298267,0.2521370197188377,0.3258325107768473,7.0
14,-0.2546780731339024,1750000,-0.6214027958114837,1,0,0,2,17.68 kmpl,1.0107767442912496,2.314805709285403,2.1756436839495383,5.0
1810,1.0395016711756744,1590000,-0.7781241029275786,3,0,0,0,14.28 kmpl,0.6733822316323941,1.2992777907818587,0.04836083480094361,5.0
12,-0.2546780731339024,1689999,-0.33789571215203135,1,0,0,0,18.53 kmpl,1.0107767442912496,2.689963543641671,2.381178258746504,5.0
1405,-0.2546780731339024,1425000,-0.17941349147283434,1,0,0,0,14.84 kmpl,1.3580946249694834,2.1936697344336027,2.381178258746504,5.0
1683,-0.772349970857733,265000,0.894743782019501,1,1,1,0,21.12 kmpl,-0.4181882504991978,-0.07797949373410497,0.3258325107768473,5.0
666,-0.772349970857733,190000,0.718652425709282,3,1,1,4,20.36 kmpl,-0.5194066042968545,-0.35494165332598043,-0.5816026369517562,5.0
723,-0.2546780731339024,425000,-0.16180435584181244,1,1,1,0,21.27 kmpl,-0.12445655712560579,-0.0790985327627588,0.5272563940778735,5.0
1259,0.26299382458992826,630000,1.370190444057092,1,1,1,2,26.59 kmpl,-0.4181882504991978,-0.49202393433610087,0.22306522337836443,5.0
255,0.780665722313759,600000,-0.7781241029275786,3,1,1,4,18.16 kmpl,-0.52139127790073,-0.13393144516680713,-0.5785196183298017,5.0
1069,1.2983376200375896,650000,-0.6900784247724692,3,1,1,0,21.4 kmpl,-0.5194066042968545,-0.2374425553173062,-0.5476894321102568,5.0
1919,0.5218297734518437,540000,-0.5139870684622503,1,1,1,0,22.0 kmpl,0.0779801504697076,0.47300734799942973,0.8396689477692614,5.0
389,0.26299382458992826,630000,1.1588808164848292,1,1,1,0,25.1 kmpl,0.0779801504697076,0.19618506828613552,0.3258325107768473,5.0
1320,1.0395016711756744,448000,-0.6900784247724692,3,1,0,0,20.51 kmpl,-0.9143566514681031,-0.6878557643505584,-0.8046076506064639,5.0
1917,0.780665722313759,500000,0.19037835677862536,1,1,1,0,21.66 kmpl,0.0779801504697076,0.4765043449639736,0.8396689477692614,5.0
1310,0.5218297734518437,745000,0.01428700046840646,1,1,1,0,24.3 kmpl,-0.4181882504991978,-0.08637228644901021,0.3258325107768473,5.0
1316,1.2983376200375896,1025000,-1.0449025077375602,1,1,0,0,24.3 kmpl,-0.4181882504991978,-0.08637228644901021,0.3258325107768473,5.0
666,-0.772349970857733,235000,-0.16180435584181244,3,1,1,2,20.36 kmpl,-0.5194066042968545,-0.35494165332598043,-0.5816026369517562,5.0
1282,0.5218297734518437,630000,0.01428700046840646,1,1,1,0,25.2 kmpl,-0.4181882504991978,-0.49202393433610087,0.22306522337836443,5.0
1851,0.26299382458992826,1700000,0.1551600855165816,1,1,1,2,12.55 kmpl,3.02323577862113,2.151705770859076,1.7954047205751518,7.0
1279,-0.2546780731339024,450000,0.894743782019501,1,1,1,2,22.9 kmpl,-0.4181882504991978,-0.49202393433610087,0.22306522337836443,5.0
1157,-0.5135140219958177,450000,0.894743782019501,3,1,1,2,16.02 kmpl,-0.17010405001474507,0.05910278727601547,-0.39353850101253257,7.0
